year,mfg,model,category,url
2023,stevens,arcalis,race,https://www.stevensbikes.de/en/de/custom/custom-road/arcalis/
2023,stevens,izoard-pro-disc,race,https://www.stevensbikes.de/en/de/race/road/izoard-pro-disc/
2023,stevens,izoard-disc,race,https://www.stevensbikes.de/en/de/race/road/izoard-disc/
2023,stevens,super-prestige,cyclocross,https://www.stevensbikes.de/en/de/race/cyclocross/super-prestige-rival-axs/
2023,stevens,xenith,endurance,https://www.stevensbikes.de/en/de/custom/custom-road/xenith/
2023,stevens,vapor,cyclocross,https://www.stevensbikes.de/en/de/race/cyclocross/vapor-2x11/
2023,stevens,aspin,race,https://www.stevensbikes.de/en/de/custom/custom-road/aspin-c/
2023,stevens,camino-pro,gravel,https://www.stevensbikes.de/en/de/gravel/carbon/camino-pro/
2023,stevens,camino,gravel,https://www.stevensbikes.de/en/de/gravel/carbon/camino/
2023,stevens,prestige,gravel,https://www.stevensbikes.de/en/de/gravel/alloy/prestige/
2023,stevens,gravere,gravel,https://www.stevensbikes.de/en/de/gravel/alloy/gavere/
2023,stevens,tabor,gravel,https://www.stevensbikes.de/en/de/gravel/alloy/tabor/
2023,stevens,supreme-pro,gravel,https://www.stevensbikes.de/en/de/gravel/alloy/supreme-pro/
2023,stevens,supreme,gravel,https://www.stevensbikes.de/en/de/gravel/alloy/supreme/
2022,stevens,super-prestige,cyclocross,https://www.stevensbikes.de/2022/en/de/road/cyclocross/super-prestige-di2/
2022,stevens,prestige,gravel,https://www.stevensbikes.de/2022/en/de/road/gravel/prestige/
2021,stevens,comet-disc,race,https://www.stevensbikes.de/2021/en/de/road/custom-road/comet-disc/
2021,stevens,prestige,gravel,https://www.stevensbikes.de/2021/en/de/road/gravel/prestige/
2020,stevens,comet-disc,race,https://www.stevensbikes.de/2020/index.php?bik_id=229&cou=US&lang=en_US
2020,stevens,xenon-disc,race,https://www.stevensbikes.de/2020/index.php?bik_id=215&cou=US&lang=en_US
2020,stevens,xenon,race,https://www.stevensbikes.de/2020/index.php?bik_id=213&cou=US&lang=en_US
2020,stevens,ventoux-disc,race,https://www.stevensbikes.de/2020/index.php?bik_id=223&cou=US&lang=en_US
2020,stevens,ventoux,race,https://www.stevensbikes.de/2020/index.php?bik_id=222&cou=US&lang=en_US
2020,stevens,super-prestige,cyclocross,https://www.stevensbikes.de/2020/index.php?bik_id=246&cou=US&lang=en_US
2020,stevens,vapor,cyclocross,https://www.stevensbikes.de/2020/index.php?bik_id=11&cou=US&lang=en_US
2020,stevens,prestige,cyclocross,https://www.stevensbikes.de/2020/index.php?bik_id=10&cou=US&lang=en_US
2019,stevens,super-prestige,cyclocross,https://www.stevensbikes.de/2019/index.php?bik_id=246&cou=US&lang=en_US
2019,stevens,vapor,cyclocross,https://www.stevensbikes.de/2019/index.php?bik_id=11&cou=US&lang=en_US
2019,stevens,prestige,cyclocross,https://www.stevensbikes.de/2019/index.php?bik_id=10&cou=US&lang=en_US
2019,stevens,izoard-pro-disc,race,https://www.stevensbikes.de/2019/index.php?bik_id=212&cou=US&lang=en_US

2023,giant,tcx-advanced-pro-2,cyclocross,https://www.giant-bicycles.com/de/tcx-advanced-pro-2
2023,giant,defy-advanced-1,endurance,https://www.giant-bicycles.com/de/defy-advanced-1-2023
2023,giant,tcr-advanced-sl,race,https://www.giant-bicycles.com/de/tcr-advanced-sl
2023,giant,contend-ar-1,endurance,https://www.giant-bicycles.com/de/contend-ar-1
2023,giant,revolt-advanced-pro,gravel,https://www.giant-bicycles.com/de/revolt-advanced-pro-2023
2023,rose,reveal-six-disc-red-etap-axs,endurance,https://www.rosebikes.com/rose-reveal-six-disc-red-etap-axs-2696901
2023,rose,reveal-four-disc-force-etap-axs,endurance,https://www.rosebikes.com/rose-reveal-four-disc-force-etap-axs-2696870
2023,rose,xlite-06-force-etap-axs,race,https://www.rosebikes.com/rose-xlite-06-force-etap-axs-2696915
2023,rose,xlite-04-force-axs,race,https://www.rosebikes.com/rose-xlite-04-force-axs-2710895
2023,rose,backroad-al,gravel,https://www.rosebikes.com/rose-backroad-al-grx-rx600-2696842
2023,rose,backroad,gravel,https://www.rosebikes.com/rose-backroad-grx-rx810-2696924
