"Frame height (cm)","MfgDimNames","48","51","54","56","58","61","Measuring mode"
"Laufraddurchmesser vorne","","622","622","622","622","622","622",""
"Laufraddurchmesser hinten","","622","622","622","622","622","622",""
"Seattube length","A1","514","527","561","583","604","643","nominal"
"Seattube length","A2","411","430","455","477","499","527","bottom bracket to top of seattube"
"Seattube length","A3","422","442","466","488","512","540","bottom bracket to top of top tube"
"Top tube length","B","495","510","521","536","551","568",""
"Top tube horizontal","C","510","525","539","555","570","590","center headtube to center seatpost/seattube"
"Headtube angle (°)","D","71,5","71,5","72,5","72,5","73","73,5",""
"Seattube angle (°)","E","75,5","74,5","74","73,5","73,5","73",""
"Wheelbase","F","979","986","987","999","1009","1018",""
"Chainstay length","G","415","415","415","415","415","415",""
"Headtube length","H","105","115","145","165","185","220",""
"Bottom bracket drop","I","73","73","73","73","73","73","distance of bottom bracket to hub level"
"Bottom bracket height","K","269","269","269","269","269","269","distance to ground"
"Fork rake","L","45","45","45","45","45","45",""
"Slope","M","89","81","90","89","88","98","top tube level distance front to rear"
"Wheel radius front","N1","342,5","342,5","342,5","342,5","342,5","342,5","bereift"
"Wheel radius rear","N2","342,5","342,5","342,5","342,5","342,5","342,5","bereift"
"Standover height","O","721","736","764","784","806","837","top of top tube to ground*"
"Oberrohrhöhe","O1","379","394","422","442","464","495","*"
"Fork build height","P","371","371","371","371","371","371","incl. lower headset cups"
"Front wheel - bottom bracket","Q","575","582","583","595","604","614",""
"Reach","R","381","384","384","390","398","402","center bottom bracket to center headtube, horizontal"
"Stack","S","498","508","540","559","579","615","center bottom bracket to center headtube, vertical"
"Stack/Reach (1:x)","","1,31","1,32","1,41","1,43","1,45","1,53","ratio stack to reach"
"Assembled spacers","","3*5","3*5","3*5","3*5","3*5","3*5",""
