Mfg,Model,Year,MfgDimNames,Category,SeatTube,TopTube_hz,HeadTubeAngle,SeatTubeAngle,Wheelbase,Chainstay,BBdrop,StandOverHeight,Reach,Stack,ForkRake
stevens,arcalis,2023,48,race,507,505,71.8,75.5,973,415,70.0,746,378,491,45
stevens,arcalis,2023,51,race,522,518,72.5,74.5,971,415,70.0,765,379,503,45
stevens,arcalis,2023,54,race,550,538,73.0,74.0,983,415,70.0,787,387,528,45
stevens,arcalis,2023,56,race,573,560,73.5,73.5,995,415,70.0,806,397,549,45
stevens,arcalis,2023,58,race,593,575,73.5,73.5,1010,415,70.0,824,407,568,45
stevens,arcalis,2023,61,race,621,593,74.0,73.0,1018,415,70.0,846,411,594,45
stevens,izoard-pro-disc,2023,50,race,542,525,72.0,74.5,972,406,70.0,740,380,522,43
stevens,izoard-pro-disc,2023,52,race,555,535,72.5,74.0,973,406,70.0,756,382,533,43
stevens,izoard-pro-disc,2023,54,race,570,545,72.5,73.5,978,406,70.0,772,383,546,43
stevens,izoard-pro-disc,2023,56,race,587,560,73.0,73.5,988,406,70.0,790,393,563,43
stevens,izoard-pro-disc,2023,58,race,611,575,73.5,73.0,993,406,70.0,810,397,584,43
stevens,izoard-pro-disc,2023,60,race,631,590,73.5,73.0,1008,406,70.0,830,406,603,43
stevens,izoard-pro-disc,2023,62,race,646,598,73.5,73.0,1016,406,70.0,846,409,618,43
stevens,izoard-disc,2023,50,race,542,525,72.0,74.5,972,406,70.0,740,380,522,43
stevens,izoard-disc,2023,52,race,555,535,72.5,74.0,973,406,70.0,756,382,533,43
stevens,izoard-disc,2023,54,race,570,545,72.5,73.5,978,406,70.0,772,383,546,43
stevens,izoard-disc,2023,56,race,587,560,73.0,73.5,988,406,70.0,790,393,563,43
stevens,izoard-disc,2023,58,race,611,575,73.5,73.0,993,406,70.0,810,397,584,43
stevens,izoard-disc,2023,60,race,631,590,73.5,73.0,1008,406,70.0,830,406,603,43
stevens,izoard-disc,2023,62,race,646,598,73.5,73.0,1016,406,70.0,846,409,618,43
stevens,super-prestige,2023,50,cyclocross,536,509,70.5,75.5,1005,425,62.0,764,375,519,45
stevens,super-prestige,2023,52,cyclocross,551,530,71.0,74.5,1012,425,62.0,775,383,531,45
stevens,super-prestige,2023,54,cyclocross,582,539,71.5,74.0,1012,425,65.0,800,379,559,45
stevens,super-prestige,2023,56,cyclocross,596,553,72.0,73.0,1011,425,65.0,814,379,570,45
stevens,super-prestige,2023,58,cyclocross,616,572,72.0,73.0,1027,425,70.0,828,392,589,45
stevens,super-prestige,2023,60,cyclocross,641,586,72.0,73.0,1041,425,70.0,849,398,613,45
stevens,xenith,2023,48,endurance,514,510,71.5,75.5,979,415,73.0,721,381,498,45
stevens,xenith,2023,51,endurance,527,525,71.5,74.5,986,415,73.0,736,384,508,45
stevens,xenith,2023,54,endurance,561,539,72.5,74.0,987,415,73.0,764,384,540,45
stevens,xenith,2023,56,endurance,583,555,72.5,73.5,999,415,73.0,784,390,559,45
stevens,xenith,2023,58,endurance,604,570,73.0,73.5,1009,415,73.0,806,398,579,45
stevens,xenith,2023,61,endurance,643,590,73.5,73.0,1018,415,73.0,837,402,615,45
stevens,vapor,2023,47,cyclocross,530,485,70.0,76.5,1000,430,62.0,753,361,516,45
stevens,vapor,2023,50,cyclocross,549,499,70.5,75.5,1006,430,62.0,753,371,532,45
stevens,vapor,2023,52,cyclocross,569,527,71.0,74.5,1010,430,62.0,776,375,548,45
stevens,vapor,2023,54,cyclocross,591,539,71.5,74.0,1011,430,65.0,792,376,567,45
stevens,vapor,2023,56,cyclocross,616,551,72.0,73.0,1007,430,70.0,805,372,588,45
stevens,vapor,2023,58,cyclocross,630,572,72.0,73.0,1027,430,70.0,822,388,603,45
stevens,vapor,2023,60,cyclocross,645,588,72.0,73.0,1043,430,70.0,840,399,617,45
stevens,vapor,2023,62,cyclocross,660,600,72.0,73.0,1055,430,70.0,857,407,631,45
stevens,aspin,2023,50,race,549,516,71.5,74.5,974,410,70.0,716,369,529,45
stevens,aspin,2023,52,race,564,537,72.5,74.0,981,410,70.0,751,382,542,45
stevens,aspin,2023,54,race,571,544,73.0,74.0,984,410,70.0,766,387,549,45
stevens,aspin,2023,56,race,583,560,73.5,74.0,996,410,70.0,776,400,559,45
stevens,aspin,2023,58,race,607,572,73.5,74.0,1008,410,70.0,803,404,584,45
stevens,aspin,2023,60,race,627,580,73.5,74.0,1015,410,70.0,823,407,603,45
stevens,aspin,2023,62,race,662,602,73.5,74.0,1038,410,70.0,842,420,636,45
stevens,aspin,2023,64,race,662,602,73.5,74.0,1038,410,70.0,842,420,636,45
stevens,camino-pro,2023,48,gravel,554,514,70.0,76.0,1038,440,70.0,751,380,538,50
stevens,camino-pro,2023,51,gravel,578,548,71.0,74.0,1044,440,70.0,774,389,556,50
stevens,camino-pro,2023,54,gravel,603,575,71.5,73.0,1056,440,70.0,800,399,577,50
stevens,camino-pro,2023,56,gravel,623,589,71.5,73.0,1070,440,70.0,825,407,596,50
stevens,camino-pro,2023,58,gravel,645,605,72.0,73.0,1081,440,70.0,850,416,617,50
stevens,camino-pro,2023,61,gravel,665,619,72.0,73.0,1096,440,70.0,874,425,636,50
stevens,camino,2023,48,gravel,554,514,70.0,76.0,1038,440,70.0,751,380,538,50
stevens,camino,2023,51,gravel,578,548,71.0,74.0,1044,440,70.0,774,389,556,50
stevens,camino,2023,54,gravel,603,575,71.5,73.0,1056,440,70.0,800,399,577,50
stevens,camino,2023,56,gravel,623,589,71.5,73.0,1070,440,70.0,825,407,596,50
stevens,camino,2023,58,gravel,645,605,72.0,73.0,1081,440,70.0,850,416,617,50
stevens,camino,2023,61,gravel,665,619,72.0,73.0,1096,440,70.0,874,425,636,50
stevens,prestige,2023,48,gravel,562,516,70.0,76.0,1035,440,70.0,749,380,546,45
stevens,prestige,2023,51,gravel,586,551,71.0,74.0,1041,440,70.0,773,389,564,45
stevens,prestige,2023,54,gravel,611,576,71.5,73.0,1051,440,70.0,798,398,583,45
stevens,prestige,2023,56,gravel,631,591,71.5,73.0,1067,440,70.0,822,407,603,45
stevens,prestige,2023,58,gravel,653,606,72.0,73.0,1077,440,70.0,847,416,624,45
stevens,prestige,2023,61,gravel,673,621,72.0,73.0,1092,440,70.0,871,424,643,45
stevens,gravere,2023,48,gravel,562,516,70.0,76.0,1035,440,70.0,749,380,546,45
stevens,gravere,2023,51,gravel,586,551,71.0,74.0,1041,440,70.0,773,389,564,45
stevens,gravere,2023,54,gravel,611,576,71.5,73.0,1051,440,70.0,798,398,583,45
stevens,gravere,2023,56,gravel,631,591,71.5,73.0,1067,440,70.0,822,407,603,45
stevens,gravere,2023,58,gravel,653,606,72.0,73.0,1077,440,70.0,847,416,624,45
stevens,gravere,2023,61,gravel,673,621,72.0,73.0,1092,440,70.0,871,424,643,45
stevens,tabor,2023,48,gravel,562,516,70.0,76.0,1035,440,70.0,749,380,546,45
stevens,tabor,2023,51,gravel,586,551,71.0,74.0,1041,440,70.0,773,389,564,45
stevens,tabor,2023,54,gravel,610,576,71.5,73.0,1051,440,70.0,798,397,584,45
stevens,tabor,2023,56,gravel,631,591,71.5,73.0,1067,440,70.0,822,407,603,45
stevens,tabor,2023,58,gravel,653,606,72.0,73.0,1077,440,70.0,847,415,624,45
stevens,tabor,2023,61,gravel,673,621,72.0,73.0,1092,440,70.0,871,424,643,45
stevens,supreme-pro,2023,50,gravel,580,525,70.0,75.5,1034,430,65.0,768,380,563,45
stevens,supreme-pro,2023,52,gravel,586,539,70.0,75.0,1042,430,65.0,783,387,567,45
stevens,supreme-pro,2023,54,gravel,599,553,70.0,74.5,1052,430,65.0,799,393,577,45
stevens,supreme-pro,2023,56,gravel,607,568,70.5,74.0,1057,430,65.0,813,400,582,45
stevens,supreme-pro,2023,58,gravel,621,582,71.0,73.5,1061,430,65.0,829,406,595,45
stevens,supreme-pro,2023,60,gravel,632,597,71.0,73.0,1071,430,65.0,843,412,605,45
stevens,supreme-pro,2023,62,gravel,637,606,71.0,73.0,1080,430,65.0,857,420,609,45
